Geo Point,Geo Shape,Batch_ID,TargetStartDate,TargetDeliveryDate,OperationalArea,DNO,Status,days_outstanding,rag_status,PVC Date,days_since_pvc_date
"51.63469594605225, 0.08878048343827191","{""coordinates"": [[[0.065128487687637, 51.64012977834489], [0.065332646704242, 51.644622477913416], [0.07255389270823, 51.644495222469736], [0.079775085495075, 51.64436752322587], [0.086996224880034, 51.64423938018943], [0.094217310678369, 51.644110793368064], [0.101438342705355, 51.64398176276945], [0.108659320776272, 51.64385228840128], [0.108450886005903, 51.63935971214366], [0.108242505357699, 51.63486713182486], [0.108034178813085, 51.63037454744498], [0.115252965614216, 51.63024469170296], [0.122471698145782, 51.630114392419614], [0.122262001690354, 51.62562184562521], [0.115043981147396, 51.62575212404986], [0.107825906353493, 51.625881959004055], [0.100607777493096, 51.62601135048005], [0.09338959475066, 51.62614029847013], [0.086171358310651, 51.62626880296662], [0.078953068357545, 51.62639686396183], [0.071734725075823, 51.62652448144814], [0.064516328649979, 51.626651655417945], [0.064720328678697, 51.63114436709707], [0.064924381685187, 51.63563707473939], [0.065128487687637, 51.64012977834489]]], ""type"": ""Polygon""}",NE-0003,2025-06-30,2025-09-02,North East,LPN,Complete,-208,Complete,2025-10-29T00:00:00+00:00,-151
"51.59881736385354, -0.016163309120162065","{""coordinates"": [[[-0.0234752591727, 51.59669238083765], [-0.023280160804538, 51.60118535926268], [-0.023085011795797, 51.605678333698265], [-0.015869550924201, 51.605556580010756], [-0.008654140894871, 51.605434383071874], [-0.00885071233607, 51.60094144768413], [-0.009047232768255, 51.59644850829929], [-0.009243702208915, 51.5919555649174], [-0.01645697916829, 51.592077703189744], [-0.023670306917649, 51.59219939842323], [-0.0234752591727, 51.59669238083765]]], ""type"": ""Polygon""}",NE-0007,2025-08-04,2025-10-08,North East,LPN,Complete,-172,Complete,2025-11-07T00:00:00+00:00,-142
"51.58690754507825, 0.023015759588552932","{""coordinates"": [[[0.012197271761758, 51.58709360362924], [0.01239582208846, 51.59158649193989], [0.019608894047095, 51.59146258158501], [0.026821914295387, 51.59133822822788], [0.034034882649288, 51.59121343187594], [0.03383420062146, 51.5867206032707], [0.03363357065418, 51.58222777064518], [0.026422023214854, 51.582352527055875], [0.019210423916704, 51.5824768406133], [0.011998772943652, 51.58260071131005], [0.012197271761758, 51.58709360362924]]], ""type"": ""Polygon""}",NE-0012,2025-08-22,2025-10-28,North East,LPN,Complete,-152,Complete,2025-12-18T00:00:00+00:00,-101
"51.56010582038172, 0.06819945975601654","{""coordinates"": [[[0.061056416178602, 51.550274939312246], [0.061259518359606, 51.554767719606], [0.061462673210501, 51.559260495864166], [0.061665880749329, 51.56375326808668], [0.06186914099414, 51.56824603627344], [0.069078296657416, 51.56811912665194], [0.076287399412936, 51.56799177443434], [0.076082720105536, 51.56349904693138], [0.075878093871352, 51.55900631538472], [0.075673520692206, 51.55451357979442], [0.068466545952613, 51.554640870892214], [0.068262734781924, 51.550148110893076], [0.061056416178602, 51.550274939312246]]], ""type"": ""Polygon""}",NE-0017,2025-09-29,2025-12-01,North East,LPN,Complete,-118,Complete,2026-02-23T00:00:00+00:00,-34
"51.57222823949689, 0.09091151888159428","{""coordinates"": [[[0.105123277684108, 51.56747793975492], [0.097914388396264, 51.567607062280864], [0.090705445466021, 51.56773574224119], [0.083496449077026, 51.567863979628235], [0.076287399412936, 51.56799177443434], [0.076492131811735, 51.572484497893534], [0.076696917320127, 51.57697721730885], [0.083907386543369, 51.57684938159477], [0.091117802454996, 51.57672110315833], [0.098328164871225, 51.576592382007156], [0.105538473608282, 51.57646321814895], [0.105330848723968, 51.57197058098193], [0.105123277684108, 51.56747793975492]]], ""type"": ""Polygon""}",NE-0018,2025-09-29,2025-12-01,North East,LPN,Complete,-118,Complete,2026-02-06T00:00:00+00:00,-51
"51.53414178652661, 0.10863165924408201","{""coordinates"": [[[0.096467859504585, 51.5361583154833], [0.096674345800639, 51.54065100576381], [0.103878981146185, 51.54052200713742], [0.111083562776178, 51.54039256637704], [0.118288090507363, 51.54026268349037], [0.125492564156493, 51.540132358485124], [0.125283244576613, 51.535639751171324], [0.118079479220739, 51.53577005532898], [0.117870921997631, 51.531277423100114], [0.117662418819539, 51.52678478680384], [0.110460015474158, 51.52691460737177], [0.103257558285283, 51.52704398602521], [0.096055047435981, 51.52717292275643], [0.096261426722471, 51.531665621147475], [0.096467859504585, 51.5361583154833]]], ""type"": ""Polygon""}",NE-0021,2025-10-13,2025-12-12,North East,LPN,Complete,-107,Complete,2026-02-19T00:00:00+00:00,-38
"51.53448697851619, 0.06394788267467509","{""coordinates"": [[[0.053243180142187, 51.53692289966836], [0.053445415964106, 51.54141571228051], [0.060650369754136, 51.541289366618265], [0.067855270928322, 51.54116257877638], [0.075060119303359, 51.5410353487624], [0.074855758162769, 51.536542596998295], [0.074651449986465, 51.532049841190904], [0.074447194756318, 51.52755708134034], [0.067244471096155, 51.527684250306365], [0.060041694691032, 51.527810977312114], [0.052838865724067, 51.527937262350065], [0.053040996734821, 51.53243008302486], [0.053243180142187, 51.53692289966836]]], ""type"": ""Polygon""}",NE-0022,2025-10-13,2025-12-12,North East,LPN,Complete,-107,Complete,,
"51.65145471340251, 0.07854902075314545","{""coordinates"": [[[0.065536858753206, 51.64911517344497], [0.065741123852743, 51.653607864939424], [0.058518398882593, 51.65373471719438], [0.058722003806738, 51.65822742496721], [0.058925661632957, 51.66272012870685], [0.066149813276431, 51.66259323581685], [0.073373911814612, 51.662465898835144], [0.073168827148357, 51.657973235805564], [0.072963795754069, 51.653480568734764], [0.08018641440169, 51.653352828588], [0.087408979610737, 51.65322464450671], [0.094631491196346, 51.653096016498594], [0.101853948973664, 51.65296694457134], [0.101646118852226, 51.64847435569904], [0.101438342705355, 51.64398176276945], [0.094217310678369, 51.644110793368064], [0.086996224880034, 51.64423938018943], [0.079775085495075, 51.64436752322587], [0.07255389270823, 51.644495222469736], [0.065332646704242, 51.644622477913416], [0.065536858753206, 51.64911517344497]]], ""type"": ""Polygon""}",NE-0023,2025-10-21,2025-12-19,North East,LPN,Complete,-100,Complete,2026-02-24T00:00:00+00:00,-33
"51.538656669211406, -0.06770692671656725","{""coordinates"": [[[-0.069617091193538, 51.530016479751005], [-0.069427000424429, 51.534509633092625], [-0.076631452586054, 51.53462798038512], [-0.076442021123466, 51.539121148697376], [-0.076252540546279, 51.5436143130472], [-0.076063010837671, 51.54810747343457], [-0.068856432362851, 51.54798906932078], [-0.069046671025964, 51.54349592787755], [-0.06184085082056, 51.54337710039707], [-0.062031748922955, 51.53888397399876], [-0.054826686953133, 51.53876472329624], [-0.055018244127971, 51.534271612006094], [-0.062222597543958, 51.5343908436306], [-0.062413396700509, 51.52989770929262], [-0.069617091193538, 51.530016479751005]]], ""type"": ""Polygon""}",NE-0026,2025-10-27,2026-01-19,North East,LPN,Complete,-69,Complete,,
"51.5105869667064, -0.11907659411066805","{""coordinates"": [[[-0.113954315963846, 51.5037601400766], [-0.121154104280259, 51.50387570471717], [-0.120969260332889, 51.50836901274794], [-0.128169803953686, 51.508484154081366], [-0.12798561971177, 51.5129774765924], [-0.120784368486372, 51.51286231683853], [-0.120599428724315, 51.51735561698891], [-0.113397517643203, 51.51723999687528], [-0.113583165176543, 51.512746715219535], [-0.113768764611272, 51.50825342961998], [-0.113954315963846, 51.5037601400766]]], ""type"": ""Polygon""}",CE-0002,2025-11-10,2026-01-13,Central,LPN,Complete,-75,Complete,,
