ContContracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Classification,Term Contract,OJEU,Awarded,Has ext option,Contract variation,Electronics watch,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
7040,Operational Contingency Arrangements,Directorate for Preparedness and Response,Operational Resilience and Control,Operational Planning and Collaboration,Professional Services  / Operational Services,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 30,000,000","£ 30,000,000",£ 0,72,No,No,,,01/11/2023,31/10/2029,,, SECURITAS SECURITY ) SERVICES (UK) LIMITED (vendor no: N/A)
7243,7019,Directorate for Preparedness and Response,Operational Resilience and Control,Response and Training,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 45,000","£ 45,000",£ 0,12,No,No,,,25/10/2023,24/10/2024,,, NORTHAMPTONSHIRE COUNTY (vendor no: 20890)
7142,Travel Management ,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,Professional Services  / Travel Management,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 280,000","£ 280,000",£ 0,48,No,No,,,19/07/2023,18/07/2027,,, CTM  (vendor no: N/A)
6799,Provision of occupational health service,People Directorate,People Services,"Wellbeing, Health & Fitness   ",Professional Services  / HR Services,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 7,500,000","£ 7,500,000",£ 0,60,No,No,,,30/06/2023,29/06/2028,,, Health Management Ltd (vendor no: N/A)
7212,Website Development ,Commissioner,Communications,Internal Communications,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 145,000","£ 145,000",£ 0,12,No,No,,G-Cloud 13,11/06/2023,10/06/2024,,, E3 Media Ltd t/a Great State (vendor no: 20896)
7218,Mental Health First Aid,Commissioner,People Directorate,Health & Safety,Professional Services  / Staff Health and Safety,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 42,000","£ 42,000",£ 0,12,No,No,,,06/06/2023,05/06/2024,,, Premier First Aid  (vendor no: N/A)
7183,Website Maintenance  ,Commissioner,Communications,Internal Communications,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,12,No,No,,G-Cloud 13,04/06/2023,03/06/2024,,, E3 Media Ltd t/a Great State (vendor no: 20896)
6764,Senior Interim Appointment ,People Directorate,People Services,Leavers,Professional Services  / Contingent Labour,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 130,000","£ 130,000",£ 0,6,No,No,,,01/06/2023,03/06/2024,,, Gatenby Sanderson (vendor no: 21038)
6795,Applied Health and Safety (Level 3 Certificate),People Directorate,Training and Professional Development,Health & Safety,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 27,000","£ 27,000",£ 0,48,No,No,,,26/05/2023,25/05/2027,,, Premier First Aid (vendor no: N/A)
7169,SFE Training ,Directorate for Preparedness and Response,Operational Resilience and Control,Executive Business and Governance Team,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Income,"£ 350,000","£ 350,000",£ 0,36,No,No,,,26/05/2023,25/05/2026,,, Fire Safety College  (vendor no: N/A)
7219,Carbon Net Zero Design - Five Stations,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 233,875","£ 230,000","£ 3,875",12,No,No,,,24/05/2023,23/05/2024,,, E.ON Energy Installation Services Limited (vendor no: N/A)
7238,HAYS recruitment ,Directorate of Corporate Services,Property and TSS,Property Strategy,Professional Services  / Contingent Labour,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 103,594","£ 103,594",£ 0,12,No,No,,3S-22 Lot 2b,19/05/2023,18/05/2024,,, HAYS SPECIALIST RECRUITMENT] (vendor no: 20575)
7147,Forest Hill & Park Royal Window Replacements,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 280,882","£ 315,000","(£ 34,118)",16,No,No,,,15/05/2023,14/09/2024,,, Re-Gen (UK) Construction Ltd (vendor no: 22474)
7007,Fire Investigation Basic Practical Course,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 90,000","£ 90,000",£ 0,36,No,No,,,12/05/2023,11/05/2026,,, Part B (vendor no: N/A)
7217,Mental Health First Aid,People Directorate,People Services,"Wellbeing, Health & Fitness   ",Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 42,000","£ 42,000",£ 0,12,No,No,,,01/05/2023,30/04/2024,,, Mental Health First Aid (MHFA) (vendor no: 21569)
6415,Replacement Fireground Radios,Directorate of Corporate Services,Information and Communications Technology ,Emergency Services Network,ICT / Communication,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 1,600,000","£ 1,600,000",£ 0,84,No,No,,CCS Network Services 2 - RM3808 - Lot 11,01/05/2023,30/04/2030,,, Radiocoms Systems Limited (vendor no: 10961)
7118,Display Screen Equipment training and risk assessment software,People Directorate,Health and Safety,Health & Safety,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 19,852","£ 19,900",(£ 48),24,No,No,Head of Procurement approval for single tender action,,30/04/2023,29/04/2025,,, Cardinus Risk Management Limited (vendor no: N/A)
7156, 6983   Property & TSS Department Training  ,Directorate of Corporate Services,Property and TSS,Property Strategy,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 14,600","£ 14,600",£ 0,4,No,No,,,21/04/2023,31/07/2023,,, Institute of Workplace & Facilities Management (IWFM) (vendor no: 22078)
7220,Multi-Agency Gold Incident Command (MAGIC) 2023-24 ,Directorate for Preparedness and Response,Operational Resilience and Control,London Resilience Group,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 104,628","£ 104,628",£ 0,12,No,No,,,18/04/2023,16/11/2023,,, COLLEGE OF POLICING (vendor no: 18171)
7076,CPD For Fire Safety ,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,No,No,,,04/04/2023,03/04/2026,,, Part B (vendor no: N/A)
6967,Fire Investigation Basic Theory ,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 72,000","£ 72,000",£ 0,24,No,No,,,04/04/2023,03/04/2025,,, Bureau Veritas (vendor no: N/A)
6754,Fire Safety Qualification (Interim Contract),"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 128,000","£ 128,000",£ 0,12,No,No,,,04/04/2023,03/04/2024,,, Xact (vendor no: N/A)
7067,Pay and Allowances Review,People Directorate,People Services,Organisational Effectiveness,Professional Services  / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,12,No,No,,,04/04/2023,,,,
7236,The Introduction of the Head of Procurement,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,Professional Services  / HR Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 100,000","£ 100,000",£ 0,12,No,No,,,04/04/2023,03/04/2024,,, Heads Resourcing Group Ltd (vendor no: 22494)
7184,Farynor Spport,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 124,575","£ 130,000","(£ 5,425)",12,No,No,,G-Cloud 13,01/04/2023,31/03/2024,,, Atkins Global (vendor no: N/A)
7211,E-Recruitment System,People Directorate,People Services,Recruitment & Resourcing,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 77,200","£ 82,000","(£ 4,800)",12,No,No,,G-Cloud 13,24/03/2023,23/03/2024,,, Lumesse (vendor no: 20992)
6964,Fuel Cards and Associated Services ,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Fleet  / Fuel,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 2,000,000","£ 2,000,000",£ 0,12,No,No,,YPO,23/03/2023,22/03/2027,,, All Star Business Solutions (vendor no: 4888)
7193,Safety Climate Tool,People Directorate,Health and Safety,Health & Safety,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 45,100","£ 45,100",£ 0,24,No,No,,,23/03/2023,22/03/2025,,, The Stationary Office (vendor no: N/A)
6862,North Kensington Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 74,000","£ 120,000","(£ 46,000)",3,No,No,Delegated Authority,,06/03/2023,05/06/2023,,, securafit (vendor no: N/A)
7005,"Stanmore fire station, Privacy for All works  ",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 100,255","£ 100,255",£ 0,3,No,No,Standing Order,,06/03/2023,05/06/2023,,, B. Nokes (vendor no: 19094)
7213,Cyborg Maintenance Services Agreement,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 105,062","£ 106,000",(£ 938),12,No,No,,G-Cloud 13,01/03/2023,29/02/2024,,, SumTotal Systems UK Limited (vendor no: 13368)
7167,Institute of Leadership & Management (ILM) Level 7 Certificate for Executive & Senior Level Coaches & Mentors Programme ,People Directorate,People Services,Leadership Development,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 2,250","£ 2,250",£ 0,0,No,No,,,01/03/2023,31/05/2023,,," Advanced Coaching Academy  (vendor no: N/A), Advanced Coaching Academy  (vendor no: N/A)"
7176,Cisco DNA ,Directorate of Corporate Services,Information and Communications Technology ,Network,ICT / Software,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 14,000","£ 11,000","£ 3,000",12,No,No,,,27/02/2023,26/02/2024,,, Intuitive Systems & Networks Ltd (ISN) (vendor no: N/A)
6860,Lewisham Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 110,000","£ 120,000","(£ 10,000)",2,No,No,Delegated Authority,,27/02/2023,26/04/2023,,, securafit (vendor no: N/A)
6864,Leyton Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 55,000","£ 120,000","(£ 65,000)",3,No,No,Delegated Authority,,27/02/2023,26/05/2023,,, securafit (vendor no: N/A)
6865,Tooting Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 79,000","£ 120,000","(£ 41,000)",2,No,No,Delegated Authority,,27/02/2023,26/04/2023,,, securafit (vendor no: N/A)
6923,"North Kensington fire station, Privacy for All works  ",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 580,635","£ 500,000","£ 80,635",3,No,No,Committee Decision,,20/02/2023,,,, B Nokes Contracts (vendor no: 19094)
