Contracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
ContractReferenceNo,ContractTitle,Directorate,Department,TeamName,ParentClassification,IsTermContract,IsOJEU,ContractAwarded,HasExtensionOption,IsContractVariation,IsElectronicsWatch,Goods_Serivce_or_Works,FinancialImplications,ContractCost,EsitmatedCostOfContract,CostVariance,Contract_Duration__months_,Contract_Extended,Extended_Post_Contract,Auth_to_Tender,Framework_Agreement,Initial_Contract_start_date,Initial_Contract_end_date,Ext_Contract_start_date,Ext_Contract_end_date,SuccessfulSupplier
7522,"Learning Support, Assessment and Tutoring service",People Directorate,People Services,Leadership Development,Professional Services  / Learning,Yes,No,Yes,No,,,Goods/Service,Income,"£70,000","£70,000",£0,12,No,No,,,01/04/2025,30/04/2026,,,
7519,Courier Services,Directorate of Corporate Services,Information and Communications Technology ,Document Management, / ,,No,Yes,Yes,,,Goods/Service,Expenditure,"£30,000","£30,000",£0,36,No,No,,,16/06/2025,15/06/2028,,, CitySprint (vendor no: N/A)
7512,External Wall training ,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£105,756","£96,000","£9,756",24,No,No,,,03/06/2025,02/06/2027,,, Part B Training Ltd (vendor no: 22356)
7507,CMP Phase 3,Commissioner,People Directorate,SW Management,Professional Services  / HR Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£149,598","£149,598",£0,6,No,No,,,01/04/2025,30/09/2025,,, CONFLICT MANANGEMENT PLUS  (vendor no: N/A)
7505,Talentlink,Directorate of Corporate Services,Information and Communications Technology ,System Support & Improvement, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£103,896","£103,896",£0,12,No,No,,,24/03/2025,23/03/2026,,, Lumesse Ltd (vendor no: N/A)
7504,Blackberry Messenger Enterprise,Directorate for Preparedness and Response,Operational Resilience and Control,Executive Business and Governance Team, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£42,700","£42,700",£0,15,No,No,,,28/02/2025,27/05/2026,,, Vodafone Limited (vendor no: N/A)
7498,Provision of Event Catering,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,Office Solutions / Office Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£40,000","£40,000",£0,12,No,No,,,17/02/2025,16/02/2026,,, Berkeley Catering (vendor no: N/A)
7497,Provision of Boarding Up Services,Directorate for Preparedness and Response,Operational Resilience and Control,Multi Agency Liaison Security & Intelligence,Professional Services  / Business Support,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£60,000","£60,000",£0,37,No,No,,,17/02/2025,16/03/2028,,, Boing  (vendor no: N/A)
7490,NLA License,Commissioner,Communications,External Communications,Professional Services  / Subscriptions and Admissions,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£36,000","£30,000","£6,000",36,No,No,,,27/09/2025,26/09/2028,,, NLA Media Access Limited (vendor no: 12134)
7483,Maintenance & Repair of Water Coolers,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Environmental Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£94,440","£82,800","£11,640",60,No,No,,ESPO 900_22,09/02/2025,08/02/2030,,, Eden Springs UK Limited (vendor no: N/A)
7480,Aztec Support Contract 2025/26,Directorate of Corporate Services,Information and Communications Technology ,System Support & Improvement,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£48,750","£48,750",£0,12,No,No,,,01/04/2025,31/03/2026,,, Aztec Computing Ltd (vendor no: N/A)
7479,Cyborg Maintenance Services Agreement,Directorate of Corporate Services,Information and Communications Technology ,System Support & Improvement,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£120,768","£120,768",£0,12,No,No,,,01/03/2025,28/02/2026,,, Cornerstone OnDemand Limited (vendor no: N/A)
7476,FELTHAM & HOMERTON - ELECTRICAL REWIRE PROJECT,Directorate of Corporate Services,Property and TSS,Property Major Projects, / ,,No,Yes,No,,,Works,Expenditure,"£19,500","£675,000","-£655,500",12,No,No,,,19/05/2025,18/05/2026,,, Lingfield (vendor no: N/A)
7469,Cyber Security and Info Gov eLearning - Renewal (6700),Directorate of Corporate Services,Information and Communications Technology ,Categories & Performance,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£48,067","£50,732","-£2,665",36,No,No,,,01/01/2025,31/12/2027,,, Omniplex Learning (vendor no: N/A)
7467,Increasing electrical capacity at fire stations,Directorate of Corporate Services,Property and TSS,Carbon Reduction, / ,,No,Yes,No,,,Works,Expenditure,"£1,805,445","£1,500,000","£305,445",6,No,No,,,,,,,
7465,Oxygen ,Directorate for Preparedness and Response,Operational Resilience and Control,National Resilience, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£70,000","£70,000",£0,12,No,No,,,01/11/2024,31/10/2025,,, BOC Limited (vendor no: N/A)
7458,SharePoint Platform Support,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£124,984","£147,000","-£22,016",18,No,No,,G Cloud 14,19/05/2025,18/11/2026,,, Chess ICT Ltd (vendor no: N/A)
7453,Tax Advise for Lease Car,Directorate of Corporate Services,Finance,Budget,Professional Services  / Financial,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£65,000","£65,000",£0,30,No,No,,,01/09/2023,28/02/2026,,, LAVAT CONSULTING LTD T/A PSTAX (vendor no: N/A)
7450,PMO Transformation Consultant,Commissioner,Directorate of Transformation,Portfolio,Professional Services  / Consultancy,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£45,000","£45,000",£0,12,No,No,,,13/12/2024,12/12/2025,,, CITI Limited (vendor no: N/A)
7449,London Segmentation Data,Commissioner,Directorate of Transformation,Leadership Team,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£66,780","£66,780",£0,12,No,No,,CCS G Cloud 13,30/11/2024,29/11/2025,,, CACI LTD (vendor no: 22176)
7447,Gartner Research Services,Directorate of Corporate Services,Finance,Budget,Professional Services  / Development and Training,No,No,Yes,No,No,No,Goods/Service,Expenditure,"£90,800","£90,800",£0,24,No,No,,G-Cloud 13,01/10/2024,30/09/2026,,, Gartner (vendor no: N/A)
7442,Harrow Training centre structural works,Directorate of Corporate Services,Property and TSS,Property Major Projects, / ,,No,Yes,No,,,Works,Expenditure,"£150,000","£150,000",£0,3,No,No,,,16/09/2024,15/12/2024,,, Axis Group Ltd (vendor no: N/A)
7436,Soft Service Consultant ,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Professional Services  / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£33,175","£60,000","-£26,825",11,No,No,,,07/11/2024,06/10/2025,,, Turner & Townsend Consulting Limited (vendor no: N/A)
7433,Life Jacket Replacement,Directorate of Corporate Services,Property and TSS,Operations Support Group, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£131,100","£131,100",£0,60,No,No,,y23046 - Emergency Response Rescue Equipment,31/03/2025,30/03/2030,,, Safequip Limited (vendor no: N/A)
7432,Salix PSDS4A application consultancy,Directorate of Corporate Services,Property and TSS,Carbon Reduction,Construction and FM / Consultancy,No,No,Yes,No,,,Goods/Service,Income,"£55,145","£50,000","£5,145",12,No,No,,ESPO - Consultancy for Decarbonisation / Net Zero Strategies,01/09/2024,31/08/2025,,, Ricardo-AEA Ltd (vendor no: N/A)
7423,Accelerated  learning Fire Safety Qualifcations for FF pilot,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,No,No,Yes,No,No,No,Goods/Service,Expenditure,"£110,000","£110,000",£0,18,No,No,,,16/05/2025,01/03/2027,,, Compass Skills Training (vendor no: N/A)
7421,Replacement of Core Network hardware,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£147,656","£145,000","£2,656",12,No,No,,Network Service 3,01/11/2024,31/10/2027,,, Maintel Europe Limited (vendor no: N/A)
7420,ICT Hardware Break/Fix,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£2,453,224","£4,500,000","-£2,046,776",60,No,No,,CCS RM6098 Technology Products & Associated Services 2 Framework,01/09/2024,31/08/2029,,, Specialist Computer Centres PLC (vendor no: N/A)
7417,"West Hampstead , Ilford and Leyton FS - Batch 1",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£822,095","£822,095",£0,24,No,No,,CCS ,26/11/2024,25/11/2026,,, Borras Construction Ltd (vendor no: 22795)
7413,Security Consultant,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Professional Services  / Operational Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£85,000","£85,000",£0,12,No,No,,,01/09/2024,31/08/2025,,, GP Tech Serv Ltd (vendor no: N/A)
7412,Screens in station project ,Commissioner,Communications,Internal Communications,ICT / Hardware,No,No,Yes,No,,,Goods/Service,Expenditure,"£75,000","£75,000",£0,12,No,No,,,25/11/2024,24/11/2025,,, Pacific Computers Limited (vendor no: N/A)
7411,Estates Professional Services - Telecommunications,Directorate of Corporate Services,Property and TSS,Property Strategy,Construction and FM / Property Occupation,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£82,000","£82,000",£0,12,Yes,Yes,,,01/08/2024,01/08/2024,01/08/2024,01/08/2025, Telemaster Ltd (vendor no: N/A)
7408,Replacement of Appliance Bay Doors - Stratford Ruislip Hornchurch Fire Stations,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Service Providers,No,No,Yes,No,,,Works,Expenditure,"£491,499","£491,499",£0,18,No,No,,,25/02/2025,24/08/2026,,, Axis Group Ltd (vendor no: N/A)
7395,Air Flow Maintenance ,Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£35,100","£58,100","-£23,000",12,No,No,,,01/09/2024,31/08/2025,,, Gas and Air (vendor no: N/A)
7394,Appliance Bay Doors South,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Construction Service Providers,No,No,Yes,No,,,Works,Expenditure,"£1,585,402","£1,585,402",£0,6,No,No,,,11/02/2025,10/08/2025,,, Axis Group Ltd (vendor no: N/A)
7387,Twickenham Roof Replacement,Directorate of Corporate Services,Property and TSS,Property Major Projects, / ,,No,Yes,No,,,Works,Expenditure,"£813,940","£650,000","£163,940",24,No,No,,,16/01/2025,15/01/2027,,, Breyer  (vendor no: N/A)
7385,Fire Engineering Level 7 Masters ,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Learning and Development Materials,No,No,Yes,No,,,Goods/Service,Expenditure,"£90,000","£90,000",£0,24,No,No,,YPO 999 Training Framework,05/08/2024,04/08/2026,,, UCLAN (vendor no: N/A)
7384,Supply of Fuel Cards,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£3,200,000","£3,200,000",£0,24,No,No,,,27/06/2024,30/06/2026,,, AllStar Business Solutions Limited (vendor no: N/A)
7383,Renewal Chemdata,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£116,200","£116,200",£0,24,No,No,,,01/07/2024,30/06/2026,,, Ricardo -AEA (vendor no: 19853)
7381,Safety Accredited Contractor's : Forecourt Passport Scheme,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£30,000","£30,000",£0,60,No,No,,,13/09/2024,12/09/2029,,, Tersus Consultancy Ltd (vendor no: N/A)
7380,Depolluted Vehicles,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Operational Equipment / Emergency and Rescue Equipment and Supplies,No,No,Yes,No,,,Goods/Service,Expenditure,"£110,000","£110,000",£0,12,No,No,,,01/08/2024,31/07/2025,,, ACE Vehicles Services Limited (vendor no: N/A)
7378,HR Senior Leadership Recruitment ,Commissioner,People Directorate,Commissioner & Directors,Professional Services  / HR Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£109,250","£109,250",£0,6,No,No,,,03/06/2024,02/12/2024,,, Korn Ferry (vendor no: N/A)
7376,BT SmartNumbers,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Communication,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£162,173","£135,842","£26,331",36,No,No,,"Network Services 3, Lot 4a",01/08/2024,31/07/2027,,, British Telecommunications PLC (vendor no: 11033)
7367,Portable Hygiene Unit,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Operational Equipment / Emergency and Rescue Equipment and Supplies,No,No,Yes,No,,,Goods/Service,Expenditure,"£159,323","£145,000","£14,323",12,No,No,,,11/04/2024,10/04/2025,,, Site-Equip Limited (vendor no: N/A)
7366,Communications & Engagement Director Recruitment,Commissioner,Commissioner,Commissioner & Directors,Professional Services  / HR Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£30,000","£30,000",£0,12,No,No,,,29/04/2024,28/04/2025,,, SK Global Search Limited (vendor no: 22696)
7362,"Hillingdon FS, Privacy for all works",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£376,966","£350,000","£26,966",3,No,No,,,,,,, B Nokes Contracts (vendor no: 19094)
7361,"Ruislip FS, privacy for all works",Directorate of Corporate Services,Property and TSS,Property Access & Workplace, / ,,No,Yes,No,,,Works,Expenditure,"£310,451","£250,000","£60,451",3,No,No,,,,,,, B Nokes Contracts (vendor no: 19094)
7360,"Chingford FS, privacy for all works",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£243,562","£280,000","-£36,438",3,No,No,,,,,,, B Nokes Contracts (vendor no: 19094)
7359,COBRA/PPV CPD for high threat environments,Directorate for Preparedness and Response,Operational Resilience and Control,Response and Training,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£96,000","£96,000",£0,24,No,No,,,01/11/2024,31/10/2026,,, NORTHAMPTONSHIRE COUNTY (vendor no: 20890)
7356,NEBOSH Level 3 General Certificate ,People Directorate,Health and Safety,Health Safety and Wellbeing,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£63,000","£45,000","£18,000",12,No,No,,,03/04/2024,01/04/2025,,, Premier People Solutions Ltd   (vendor no: N/A)
7355,CCS Energy/Utilities Contract,Directorate of Corporate Services,Property and TSS,Property Technical Assurance, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£15,000,000","£18,000,000","-£3,000,000",36,No,No,,RM6251 - Supply of Energy 2,01/04/2024,31/03/2026,,, EDF Energy & Total Energy (Natural Gas) (vendor no: N/A)
7354,Euston Fire Station Heating Replacement Project,Directorate of Corporate Services,Property and TSS,Property Major Projects, / ,,No,Yes,No,,,Works,Expenditure,"£1,038,000","£1,038,000",£0,16,No,No,,,08/01/2024,07/05/2025,,, BSW Heating Ltd (vendor no: N/A)
7353,APPLIANCE BAY DOOR REPLACEMENT AT BARNET HOLLOWAY AND LEYTON FIRE STATIONS,Directorate of Corporate Services,Property and TSS,Property Major Projects, / ,,No,Yes,No,,,Works,Expenditure,"£573,000","£573,000",£0,15,No,No,,,11/09/2023,10/12/2024,,, AXIS Europe Plc (vendor no: N/A)
7349,Cloud Broker,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£68,250","£98,000","-£29,750",24,No,No,,G Cloud 13,12/10/2024,11/10/2026,,, Intuitive Systems & Networks Limited (vendor no: N/A)
7347,New Online recruitment assessment,People Directorate,People Services,HR Management,Professional Services  / Learning and Development Materials,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£103,868","£103,868",£0,24,No,No,,,24/02/2025,23/02/2027,,, SHL Group Limited (vendor no: N/A)
7345,HAYS recruitment ,Directorate of Corporate Services,Property and TSS,Property Strategy,Professional Services  / HR Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£111,890","£111,890",£0,24,No,No,,,16/12/2024,15/12/2026,,, HAYS SPECIALIST RECRUITMENT (vendor no: 20575)
7342,Public Sector Decarbonisation Scheme - Stage 3C - RIBA 0-7 Design,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Environmental Goods,No,No,Yes,No,No,,Goods/Service,Expenditure,"£434,700","£520,000","-£85,300",36,No,No,,,15/07/2024,14/07/2027,,, Ooander Limited (vendor no: N/A)
7339,Website Maintenance and Development,Commissioner,Communications,External Communications,ICT / Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£79,800","£120,000","-£40,200",12,Yes,No,,CCS G Cloud 13,19/07/2024,18/07/2025,19/07/2025,18/07/2026, e3 Media t/a Great State (vendor no: 20896)
7338,Light Catering Equipment and Consumables,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Construction and FM / Catering,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£140,000","£140,000",£0,24,No,No,,TUCO,02/09/2024,01/09/2027,,," Lockhart (vendor no: 4155), Universal Unity (vendor no: 22760)"
7337,Respiratory Protective Equipment (RPE) Replacement Components,Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£125,000","£125,000",£0,12,No,No,,,01/10/2024,30/09/2025,,, Draeger Safety UK Limited (vendor no: N/A)
7334,Supply of bulk Derv and HVO fuel for the strategic/bunker storage tanks,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£1,300,000","£1,300,000",£0,24,No,No,,RM6177 National Fuels,01/09/2024,31/08/2026,,, Certas Limited (vendor no: N/A)
7326,Netcall support renewal,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£113,725","£99,360","£14,365",24,No,No,,the NHS London Procurement Partnership (LPP) Information Management & Technology (IM&T) (Lot 3) Framework,13/01/2024,12/01/2026,,, Netcall Technology Limited (vendor no: N/A)
7325,Incident response retainer ,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£40,500","£40,500",£0,12,Yes,Yes,,CCS via G-Cloud Services ,01/04/2024,31/03/2025,17/03/2025,16/03/2026, NCC Group Security Services Limited (vendor no: N/A)
7316,Petroleum training courses,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£69,000","£69,000",£0,60,No,No,,,01/01/2024,31/12/2028,,, APEA (Association for Petroleum & Explosives Administration) (vendor no: N/A)
